Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
450,5,9,4,6,4,1,7,4,5,8,4,2,5,9,Others,Retail,Cola,Never,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
451,2,10,5,5,10,1,10,8,2,7,7,8,9,5,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Never,Online,Online,24-28,Male,Other towns in East,Student
452,2,10,10,5,10,7,3,0,5,10,5,1,0,5,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
453,5,10,7,7,0,6,2,7,6,10,10,4,6,10,Others,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
454,6,8,9,9,10,9,7,7,4,7,4,6,7,4,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
455,7,9,3,5,9,8,0,7,5,10,7,6,2,4,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
456,2,10,0,5,10,0,10,10,10,10,0,10,10,10,Apple,Online,White/Colourless,Never,Never,Everyday,Never,Online,Online,18-23,Female,Delhi,Student
457,4,7,8,9,10,4,6,9,8,8,4,4,4,5,One Plus,Online,White/Colourless,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
458,2,2,8,4,10,8,8,8,6,10,3,5,10,1,Xiaomi,Online,Orange,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
459,8,9,8,5,9,9,9,5,5,8,1,8,9,1,Apple,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Female,Other towns in East,Student
460,1,6,5,1,9,0,6,2,9,7,6,6,2,6,Xiaomi,Online,Fruit flavour,Less Often,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Male,Mumbai,Student
461,7,9,7,9,3,9,2,7,9,9,5,6,7,5,Xiaomi,Online,Fruit flavour,Never,Less Often,Less Often,Never,Online,Online,18-23,Male,Other towns in South,Student
462,3,8,6,8,6,6,8,6,8,8,0,7,5,2,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
463,9,8,4,6,10,6,5,2,5,7,5,1,3,9,One Plus,Online,Fruit flavour,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in East,Student
464,7,9,8,8,8,9,8,6,5,8,1,8,8,1,Others,Second hand mobile sources,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
465,4,8,3,8,2,4,7,4,8,8,7,4,6,4,Apple,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
466,8,7,3,6,8,9,2,2,9,5,2,0,7,1,Others,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
467,3,2,3,7,0,8,10,2,1,5,1,9,8,1,Vivo,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
468,10,8,9,7,9,7,2,2,5,5,0,4,9,4,Others,Retail,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
469,9,8,2,9,10,6,3,0,9,2,1,2,2,5,Samsung,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
470,9,9,6,8,10,8,3,8,10,9,2,7,8,7,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
471,1,1,7,9,10,1,9,2,7,8,3,0,0,1,One Plus,Online,Fruit flavour,Less Often,Less Often,Never,Never,Online,Online,24-28,Male,Other towns in West,Student
472,4,9,6,6,9,3,8,7,7,10,10,10,8,9,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
473,2,8,8,3,8,2,9,7,2,10,8,0,3,8,Xiaomi,Online,Cola,Everyday,Less Often,Less Often,Never,Online,Online,18-23,Male,Kolkata,Student
474,1,9,5,7,9,4,4,7,8,9,3,5,5,7,Apple,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Working Executive
475,3,9,5,1,6,5,8,3,8,10,2,0,2,5,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
476,10,10,7,8,10,8,3,9,10,10,7,8,8,7,Xiaomi,Online,Orange,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
477,3,8,3,8,0,2,1,7,10,10,5,5,7,7,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Delhi,Student
478,10,10,5,5,6,4,8,0,3,10,10,10,5,10,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Never,Online,Online,24-28,Female,Other towns in East,Student
479,4,8,6,10,10,7,6,10,7,10,5,7,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
480,2,9,3,7,8,10,6,4,3,9,4,3,5,5,Apple,Retail,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Online,18-23,Male,Other towns in East,Student
481,10,3,3,8,3,7,1,10,8,9,8,6,4,1,Xiaomi,Online,White/Colourless,Less Often,Never,Less Often,Less Often,Online,Online,18-23,Female,Delhi,Student
482,9,9,8,7,3,4,3,8,9,10,7,9,8,9,Xiaomi,Retail,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
483,7,8,5,6,9,8,3,2,8,8,5,7,4,5,Xiaomi,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in North,Student
484,7,8,8,6,10,5,2,5,3,8,10,6,3,5,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
485,6,10,6,5,10,8,6,9,9,9,8,7,7,0,Vivo,Retail,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
486,2,5,7,8,3,4,10,7,3,7,3,8,9,8,Xiaomi,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
487,0,5,7,8,0,10,10,0,7,6,2,0,10,2,Others,Online,Cola,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Other towns in North,Student
488,8,8,9,5,9,10,4,0,5,10,4,7,4,0,Apple,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Male,Hyderabad,Student
489,7,9,6,8,2,1,2,10,10,8,3,3,3,10,Apple,Retail,Cola,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
490,8,7,7,8,10,0,8,8,9,9,4,4,8,8,Samsung,Retail,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Male,Other towns in East,Student
491,9,4,9,8,2,10,0,9,2,7,7,9,9,1,Apple,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
492,3,9,8,5,8,4,7,5,8,8,4,5,6,5,Apple,Retail,Fruit flavour,Never,Never,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Mumbai,Student
493,8,8,7,10,1,4,6,8,2,9,2,9,7,6,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
494,3,6,10,7,0,2,9,7,10,10,5,9,7,9,Apple,Retail,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in East,Student
495,8,10,10,7,9,0,8,6,8,8,7,8,10,10,Xiaomi,Online,Orange,Everyday,Never,Less Often,Less Often,Online,Online,24-28,Male,Other towns in East,Student
496,6,8,6,5,8,3,8,7,3,7,2,7,6,3,Others,Online,White/Colourless,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Female,Other towns in West,Student
497,2,9,3,7,10,8,2,8,2,5,2,5,2,3,Xiaomi,Online,Cola,Never,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Delhi,Student
498,3,6,6,5,7,1,6,2,8,8,4,2,7,8,One Plus,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,18-23,Female,Other towns in West,Student
499,7,9,2,3,10,2,6,5,9,8,6,5,3,8,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
500,2,8,3,5,8,1,10,8,5,9,5,8,8,9,One Plus,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in North,Student
501,6,8,8,9,10,6,6,5,2,9,3,8,4,6,Xiaomi,Online,White/Colourless,Less Often,Never,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
502,4,8,7,9,8,2,8,1,3,9,1,6,7,5,Xiaomi,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
503,6,10,10,4,10,2,1,1,7,9,9,3,4,4,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Delhi,Student
504,8,7,5,9,7,8,1,2,2,9,2,1,7,1,Apple,Second hand mobile sources,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Online,18-23,Male,Kolkata,Student
505,2,7,8,9,5,5,7,8,8,8,2,5,8,5,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
506,8,9,9,2,0,0,7,2,0,10,9,9,2,7,Others,Online,Orange,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
507,4,9,7,5,10,6,1,0,2,2,0,2,6,0,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
508,5,7,7,5,8,4,7,3,5,8,5,7,5,5,Samsung,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Mumbai,Student
509,7,9,7,8,2,4,9,5,8,9,5,7,7,9,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in North,Student
510,2,8,1,10,10,1,10,8,9,10,2,8,7,1,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
511,9,9,8,7,8,1,9,9,9,9,4,2,5,8,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
512,3,8,9,2,7,3,7,1,10,9,6,8,8,2,Vivo,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
513,7,9,5,4,5,7,7,3,4,8,1,1,3,5,Others,Online,Fruit flavour,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
514,3,9,6,6,9,7,4,3,7,8,4,6,3,3,Xiaomi,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
515,2,8,3,8,10,7,6,4,7,8,5,7,4,8,Xiaomi,Online,Cola,Everyday,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Other towns in West,Student
516,6,9,7,6,10,5,6,9,7,9,6,8,8,5,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Kolkata,Student
517,7,9,9,10,10,6,10,8,0,8,3,5,7,1,Xiaomi,Online,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
518,2,10,2,1,5,8,0,6,9,7,1,6,1,1,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
519,8,8,8,9,10,10,0,0,2,10,0,6,1,0,Oppo,Retail,I do not consume soft drinks at all,Never,Everyday,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Other towns in North,Student
520,3,5,8,2,10,7,1,8,10,10,5,10,5,4,One Plus,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Male,Delhi,Student
521,6,8,6,4,5,2,10,2,0,8,4,5,0,7,Xiaomi,Online,I do not consume soft drinks at all,Less Often,Everyday,Less Often,Never,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
522,9,10,7,6,0,6,4,3,10,8,5,8,6,0,Others,Online,I do not consume soft drinks at all,Less Often,Never,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Kolkata,Working Executive
523,0,6,10,10,0,0,10,10,10,10,10,8,8,10,One Plus,Online,Cola,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Bangalore,Student
524,2,7,5,5,0,0,5,10,10,10,5,10,7,5,Samsung,Online,Fruit flavour,Never,Less Often,Less Often,Everyday,Online,Online,18-23,Female,Kolkata,Working Executive
525,3,10,5,0,5,3,0,10,10,10,10,10,4,10,Apple,Online,Orange,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
526,2,7,6,7,7,7,6,8,9,9,7,6,5,8,One Plus,Online,Cola,Never,Never,Less Often,Never,Online,Online,24-28,Male,Other towns in South,Student
527,7,8,7,6,8,2,7,3,8,5,4,2,6,7,Oppo,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
528,3,8,4,9,8,9,8,3,8,5,3,1,4,2,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
529,4,9,7,8,10,8,7,10,10,10,9,8,8,9,Apple,Online,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Online,18-23,Male,Other towns in North,Student
530,3,5,7,3,8,3,8,2,0,1,1,1,9,10,One Plus,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,18-23,Female,Other towns in West,Student
531,9,7,3,3,1,6,3,7,5,7,2,5,7,2,Vivo,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Online,Online,18-23,Male,Delhi,Student
532,5,6,10,5,5,8,5,7,2,9,8,0,10,5,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Delhi,Student
533,3,6,4,7,10,9,3,8,9,8,3,3,6,2,One Plus,Online,White/Colourless,Never,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Hyderabad,Student
534,2,6,7,9,7,7,9,6,8,9,3,9,10,5,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
535,1,5,6,6,1,1,9,7,9,9,8,8,8,9,Others,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in North,Student
536,1,6,5,4,8,4,4,2,7,8,7,3,3,7,Vivo,Online,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
537,5,9,5,5,6,2,10,6,9,10,5,7,9,9,Apple,Retail,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Female,Bangalore,Student
538,2,7,5,8,10,3,8,0,8,9,5,2,3,5,One Plus,Online,Cola,Everyday,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in North,Student
539,4,6,3,3,10,5,3,8,9,8,8,5,5,5,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
540,2,8,8,9,5,4,9,10,5,8,3,5,6,8,Xiaomi,Retail,Fruit flavour,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in East,Student
541,8,9,7,3,9,8,3,4,9,8,4,5,6,9,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Other towns in West,Student
542,8,4,4,5,9,5,4,3,6,7,3,4,4,4,Xiaomi,Online,White/Colourless,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
543,1,8,2,10,10,7,8,1,2,8,2,1,3,2,One Plus,Online,Orange,Never,Less Often,Less Often,Never,Online,Online,24-28,Male,Chennai,Student
544,6,8,7,8,7,8,8,8,5,9,3,5,5,5,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Mumbai,Student
545,4,1,2,8,2,8,3,3,7,8,1,1,3,6,One Plus,Online,I do not consume soft drinks at all,Less Often,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
546,4,7,7,8,8,9,9,6,6,8,7,5,6,5,Xiaomi,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in South,Student
547,7,10,8,10,10,8,0,7,9,10,0,10,8,10,Xiaomi,Online,Cola,Everyday,Everyday,Less Often,Everyday,Newspaper,Retail Stores,24-28,Male,Other towns in North,Student
548,7,9,6,4,5,1,6,5,8,8,3,6,5,7,Others,Online,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
549,8,6,9,5,10,2,2,8,8,7,5,7,9,5,One Plus,Online,Orange,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
550,1,8,8,8,9,10,2,2,1,9,9,5,9,1,Samsung,Retail,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Student
551,7,9,8,10,6,9,8,2,8,10,6,3,7,3,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in North,Student
552,8,7,4,3,3,9,9,4,3,9,9,4,5,2,Others,Online,I do not consume soft drinks at all,Never,Less Often,Less Often,Never,Online,Online,24-28,Female,Bangalore,Student
553,7,8,4,4,8,2,9,7,2,8,10,7,3,6,Others,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
554,2,9,6,9,10,5,10,10,5,2,2,2,9,5,Samsung,Retail,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
555,3,8,4,10,1,10,4,7,8,10,4,7,10,4,Apple,Online,I do not consume soft drinks at all,Never,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in North,Student
556,7,8,4,4,7,10,3,2,5,8,2,2,6,5,Apple,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
557,9,9,7,9,5,7,2,1,8,9,9,1,5,1,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Never,Newspaper,Online,18-23,Male,Other towns in North,Student
558,6,8,8,5,9,5,5,6,9,6,2,5,7,5,Apple,Retail,I do not consume soft drinks at all,Everyday,Never,Everyday,Less Often,Newspaper,Retail Stores,24-28,Male,Mumbai,Student
559,3,9,2,8,9,5,8,5,8,9,2,8,8,2,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in South,Student
560,9,10,8,7,9,6,0,5,8,8,8,5,5,8,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Delhi,Student
561,8,9,9,5,10,9,10,10,6,10,0,10,10,2,Apple,Retail,Orange,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Mumbai,Student
562,5,2,5,5,10,2,9,1,5,9,5,0,4,1,Others,Online,I do not consume soft drinks at all,Everyday,Less Often,Never,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
563,10,8,8,5,10,10,1,0,7,10,5,4,6,0,Xiaomi,Online,I do not consume soft drinks at all,Never,Never,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
564,7,6,5,5,4,8,6,7,9,7,7,6,5,6,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
565,5,8,5,8,10,4,4,8,7,9,8,7,6,8,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
566,2,5,2,9,9,2,4,7,5,2,8,8,5,8,One Plus,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,18-23,Male,Kolkata,Student
567,5,7,3,0,2,5,4,4,4,3,5,0,9,8,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
568,2,6,0,10,0,2,8,8,10,5,10,1,4,10,Oppo,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Kolkata,Self Employed/business
569,9,10,5,9,4,4,5,9,8,9,8,7,8,9,One Plus,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Newspaper,Retail Stores,18-23,Female,Kolkata,Student
570,8,8,6,5,7,0,2,7,3,7,4,7,7,9,Samsung,Retail,I do not consume soft drinks at all,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in South,Student
571,8,9,5,1,10,10,1,6,7,8,8,1,1,0,Apple,Online,Cola,Never,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
572,0,8,6,0,10,6,7,6,5,10,5,8,5,5,One Plus,Online,White/Colourless,Never,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Chennai,Student
573,7,8,5,3,5,4,5,3,6,10,4,3,3,8,Others,Online,White/Colourless,Never,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Other towns in South,Student
574,8,9,5,7,3,5,3,5,3,2,1,2,7,8,Others,Online,White/Colourless,Less Often,Everyday,Less Often,Never,Online,Retail Stores,24-28,Male,Chennai,Student
575,8,10,5,7,5,7,4,9,4,6,4,9,9,9,Apple,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,18-23,Male,Other towns in South,Student
576,4,9,8,9,2,1,9,8,9,10,2,9,6,3,One Plus,Online,Cola,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Male,Chennai,Student
577,5,8,4,2,5,4,7,5,8,5,5,8,5,6,Samsung,Retail,Cola,Never,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in South,Student
578,9,6,7,1,10,5,7,4,4,6,9,6,6,6,Others,Online,Fruit flavour,Never,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Hyderabad,Student
579,4,10,6,0,0,7,10,6,10,10,10,10,10,10,Xiaomi,Online,Cola,Never,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in South,Student
580,6,7,4,3,8,2,7,8,5,7,3,8,6,6,Vivo,Retail,White/Colourless,Less Often,Less Often,Less Often,Less Often,Newspaper,Retail Stores,24-28,Male,Other towns in South,Student
581,7,7,5,4,10,2,5,3,5,6,7,2,5,6,Apple,Retail,Fruit flavour,Never,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Other towns in South,Student
582,6,10,6,5,6,5,8,9,7,10,6,5,7,9,Others,Online,Cola,Never,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
583,9,10,7,2,7,5,8,6,6,3,2,6,2,7,Others,Online,Fruit flavour,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
584,3,7,4,5,3,1,8,0,10,4,4,0,0,8,One Plus,Online,I do not consume soft drinks at all,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Hyderabad,Student
585,10,10,10,10,8,8,8,10,8,10,8,10,8,10,One Plus,Online,Orange,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Male,Other towns in South,Student
586,7,9,5,4,0,2,5,5,9,4,3,10,5,7,Samsung,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
587,1,8,9,7,8,3,7,2,9,8,0,4,5,1,One Plus,Online,Orange,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
588,7,6,2,6,9,2,6,2,8,8,5,1,2,3,Others,Online,Cola,Less Often,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Male,Chennai,Student
589,7,7,2,2,10,10,7,5,3,5,7,2,5,5,Samsung,Online,Fruit flavour,Less Often,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in South,Student
590,8,9,5,5,5,0,2,2,3,8,5,2,5,9,One Plus,Online,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Female,Chennai,Student
591,8,8,4,3,5,3,0,0,10,5,1,0,5,2,One Plus,Online,I do not consume soft drinks at all,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in South,Student
592,8,9,5,6,6,2,1,8,8,7,5,5,5,9,Xiaomi,Retail,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Hyderabad,Student
593,7,5,7,2,0,0,5,5,0,0,0,0,5,9,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
594,5,9,7,8,8,8,6,6,8,9,10,5,10,5,Others,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Newspaper,Online,24-28,Male,Other towns in South,Student
595,8,5,10,10,9,7,8,8,10,10,2,2,9,8,Others,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Working Executive
596,6,9,9,3,10,8,6,7,10,8,1,0,3,9,Apple,Retail,I do not consume soft drinks at all,Less Often,Never,Less Often,Less Often,Newspaper,Retail Stores,40-50,Male,Kolkata,Self Employed/business
597,2,8,5,8,1,0,10,9,7,10,5,7,0,10,One Plus,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Female,Other towns in East,Student
598,5,10,5,7,10,6,10,4,10,10,5,0,0,5,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Delhi,Student
599,3,8,7,8,5,3,5,0,9,8,1,6,4,7,Samsung,Retail,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Online,24-28,Male,Kolkata,Student
600,9,10,8,5,9,7,0,4,10,10,8,6,7,3,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Never,Online,Online,18-23,Male,Other towns in North,Student
